object_type,object_uri,id,title,folder,owner,last_viewed,views_90d,source_updated_at,tile_count,explore_refs,fields_refs,has_text_tile,translation_class,reason
dashboard,looker:analytics:dashboard:87,87,Web Traffic,Shared/Rittman Analytics/Operations,Mark Rittman,2026-07-17,3,2025-05-28T09:54:34+00:00,12,analytics/web_sessions_fact,web_events_fact.event_type;web_events_fact.page_category;web_events_fact.page_title;web_events_fact.referrer_host;web_events_fact.total_blended_user_id;web_events_fact.total_page_views;web_events_fact.total_session_conversions;web_events_fact.total_session_goal_achieveds;web_events_fact.total_unique_users;web_sessions_fact.bounced_session_rate;web_sessions_fact.channel;web_sessions_fact.new_or_returning_user;web_sessions_fact.session_start_ts_date;web_sessions_fact.session_start_ts_week;web_sessions_fact.session_utm_campaign;web_sessions_fact.session_utm_source;web_sessions_fact.total_duration_in_s;web_sessions_fact.total_session_duration_in_s;web_sessions_fact.total_sessions;web_sessions_fact.total_web_sessions_pk,false,mechanical,"references field outside the parsed repo (fields: web_sessions_fact.total_duration_in_s, web_sessions_fact.total_web_sessions_pk)"
dashboard,looker:analytics:dashboard:91,91,"Historical Deals, Opportunities and Wins",Shared/Rittman Analytics/Operations,Mark Rittman,never,0,,7,analytics/companies_dim,companies_dim.company_name;deals_fact.count;deals_fact.count_deals_stage_0;deals_fact.count_deals_stage_1;deals_fact.count_deals_stage_10;deals_fact.count_deals_stage_2;deals_fact.count_deals_stage_3;deals_fact.count_deals_stage_4;deals_fact.count_deals_stage_5;deals_fact.count_deals_stage_6;deals_fact.count_deals_stage_7;deals_fact.count_deals_stage_9;deals_fact.count_license_referral_deals;deals_fact.count_managed_services_deals;deals_fact.count_services_deals;deals_fact.count_training_deals;deals_fact.deal_created_quarter;deals_fact.deal_name;deals_fact.deal_type;deals_fact.partner_referral;deals_fact.pipeline_stage_label;deals_fact.total_deal_amount;deals_fact.total_weighted_deal_amount;project_timesheets.timesheet_billing_month;project_timesheets.timesheet_is_billable;project_timesheets.total_timesheet_hours_billed;projects_invoiced.invoice_gbp_revenue_amount;projects_invoiced.invoice_quarter,false,mechanical,"references field outside the parsed repo (fields: deals_fact.count, deals_fact.count_deals_stage_0, deals_fact.count_deals_stage_1, deals_fact.count_deals_stage_10, deals_fact.count_deals_stage_2, deals_fact.count_deals_stage_3)"
dashboard,looker:analytics:dashboard:112,112,2020 vs 2019,Shared/Analysis,Mark Rittman,never,0,2021-12-17T23:04:52+00:00,8,analytics/companies_dim,companies_dim.count;project_invoice_timesheet_users.contact_name;project_invoice_timesheet_users.count_contacts;projects_delivered.count_timesheet_projects;projects_invoiced.count_invoices;projects_invoiced.invoice_gbp_revenue_amount;projects_invoiced.invoice_month;projects_invoiced.invoice_month_num;projects_invoiced.invoice_year,false,mechanical,"references field outside the parsed repo (fields: project_invoice_timesheet_users.count_contacts, projects_invoiced.invoice_gbp_revenue_amount, projects_invoiced.invoice_month, projects_invoiced.invoice_month_num, projects_invoiced.invoice_year)"
dashboard,looker:analytics:dashboard:117,117,Sprint Pipeline & Revenue Cash Projection,Shared/Rittman Analytics/Operations,Mark Rittman,2026-08-31,0,2022-07-01T09:40:36+00:00,1,analytics/companies_dim,companies_dim.company_name;projects_delivered.project_code;projects_delivered.project_delivery_end_ts_date;projects_delivered.project_delivery_start_ts_date;projects_delivered.project_delivery_start_ts_month;projects_delivered.project_fee_amount;projects_delivered.project_name;projects_delivered.project_revenue_expected_ts_month;projects_delivered.total_business_days_pct_elapsed;projects_delivered.total_project_fee_amount;projects_invoiced.invoice_date;projects_invoiced.invoice_due_date;projects_invoiced.invoice_payment_term;projects_invoiced.invoice_status,false,mechanical,"references field outside the parsed repo (fields: projects_delivered.project_revenue_expected_ts_month, projects_invoiced.invoice_date)"
dashboard,looker:analytics:dashboard:132,132,RFM Analysis,Shared/Customer Success,Mark Rittman,2026-07-30,2,2024-03-26T20:33:37+00:00,7,analytics/companies_dim,companies_dim.count;company_deal_value_attribute.company_pk;projects_invoiced.invoice_gbp_revenue_amount;projects_invoiced.total_invoice_gbp_amount_in_clients_last_12m;rfm_model.monetary_value;rfm_model.order_frequency;rfm_model.order_recency;rfm_model.rfm_segment,false,mechanical,references field outside the parsed repo (fields: projects_invoiced.invoice_gbp_revenue_amount)
dashboard,looker:analytics:dashboard:133,133,Revenue Analysis,Shared/Customer Success,Mark Rittman,2026-07-30,2,,12,analytics/companies_dim;finance/revenue_attribution,companies_dim.company_name;companies_dim.count;project_timesheet_projects.count_timesheet_projects;project_timesheet_users.contact_name;project_timesheets.timesheet_billing_date;project_timesheets.timesheet_is_billable;project_timesheets.total_timesheet_cost_amount;project_timesheets.total_timesheet_hours_billed;projects_delivered.is_project_active;projects_delivered.project_delivery_end_ts_month;projects_delivered.project_delivery_start_ts_date;projects_delivered.project_is_fixed_fee;projects_delivered.project_name;projects_delivered.total_project_fee_amount;projects_invoiced.count_invoices;projects_invoiced.first_invoice_month;projects_invoiced.first_invoice_year;projects_invoiced.invoice_currency;projects_invoiced.invoice_date;projects_invoiced.invoice_gbp_revenue_amount;projects_invoiced.invoice_local_revenue_amount;projects_invoiced.invoice_month;projects_invoiced.invoice_month_num;projects_invoiced.invoice_paid_date;projects_invoiced.invoice_payment_term;projects_invoiced.invoice_year;projects_invoiced.months_since_first_invoice;revenue_attribution.attributed_revenue;revenue_attribution.invoice_month;revenue_attribution.invoice_year,false,mechanical,"fields: project_timesheet_projects.count_timesheet_projects, project_timesheets.total_timesheet_cost_amount, projects_invoiced.first_invoice_month, projects_invoiced.first_invoice_year, projects_invoiced.invoice_date, projects_invoiced.invoice_gbp_revenue_amount); references field outside the parsed repo (explores: finance/revenue_attribution; fields: project_timesheet_projects.count_timesheet_projects, project_timesheets.total_timesheet_cost_amount, projects_invoiced.first_invoice_month, projects_invoiced.first_invoice_year, projects_invoiced.invoice_date, projects_invoiced.invoice_gbp_revenue_amount)"
dashboard,looker:analytics:dashboard:136,136,Forecast,Shared/Rittman Analytics/Operations,Mark Rittman,never,0,,6,analytics/actuals_v_targets;analytics/companies_dim,actuals_v_targets.month_month;actuals_v_targets.target;actuals_v_targets.target_group;companies_dim.company_name;deals_fact.assigned_consultant;deals_fact.deal_currency_code;deals_fact.deal_name;deals_fact.deal_type;deals_fact.number_of_sprints;deals_fact.pipeline_stage_label;deals_fact.pricing_model;deals_fact.sprint_type;deals_fact.total_deal_amount;projects_delivered.is_project_active;projects_delivered.project_delivery_end_ts_month;projects_delivered.project_delivery_start_ts_date;projects_delivered.project_fte_budget;projects_delivered.project_hours_budget;projects_delivered.project_is_billable;projects_delivered.total_project_fee_amount;projects_invoiced.invoice_date;projects_invoiced.invoice_gbp_revenue_amount;projects_invoiced.invoice_month;projects_invoiced.invoice_status,false,mechanical,"fields: deals_fact.assigned_consultant, projects_invoiced.invoice_date, projects_invoiced.invoice_gbp_revenue_amount, projects_invoiced.invoice_month); references field outside the parsed repo (explores: actuals_v_targets; fields: deals_fact.assigned_consultant, projects_invoiced.invoice_date, projects_invoiced.invoice_gbp_revenue_amount, projects_invoiced.invoice_month)"
dashboard,looker:analytics:dashboard:142,142,Client Concentration,Shared/Customer Success,Mark Rittman,2026-07-30,2,2021-12-14T19:52:30+00:00,2,analytics/client_concentration;analytics/companies_dim,client_concentration.customer_concentration;client_concentration.invoice_month_date;client_concentration.invoice_month_quarter;companies_dim.count;dynamic_company_attributes.pct_of_revenue;projects_invoiced.invoice_date;projects_invoiced.invoice_year,false,mechanical,"fields: client_concentration.customer_concentration, client_concentration.invoice_month_date, client_concentration.invoice_month_quarter, dynamic_company_attributes.pct_of_revenue, projects_invoiced.invoice_date, projects_invoiced.invoice_year); references field outside the parsed repo (explores: client_concentration; fields: client_concentration.customer_concentration, client_concentration.invoice_month_date, client_concentration.invoice_month_quarter, dynamic_company_attributes.pct_of_revenue, projects_invoiced.invoice_date, projects_invoiced.invoice_year)"
dashboard,looker:analytics:dashboard:143,143,Review of 2021,Shared/Analysis,Mark Rittman,never,0,2022-12-13T22:08:04+00:00,34,analytics/chart_of_accounts_dim;analytics/companies_dim;finance/revenue_attribution,companies_dim.company_name;companies_dim.count;deals_fact.count_closed_won_deals;deals_fact.count_dbt_technology;deals_fact.count_deals;deals_fact.count_fivetran_technology;deals_fact.count_gcp_technology;deals_fact.count_looker_technology;deals_fact.count_qubit_technology;deals_fact.count_segment_technology;deals_fact.count_snowflake_technology;deals_fact.days_in_pipeline;deals_fact.deal_closed_month_num;deals_fact.deal_closed_year;deals_fact.deal_created_date;deals_fact.deal_created_month;deals_fact.deal_created_month_num;deals_fact.deal_created_year;deals_fact.deal_is_deleted;deals_fact.deal_name;deals_fact.deal_pipeline_stage_date;deals_fact.deal_type;deals_fact.owner_full_name;deals_fact.partner_referral;deals_fact.pipeline_stage_closed_won;deals_fact.pipeline_stage_label;deals_fact.sprint_type;deals_fact.total_closed_won_deal_amount;deals_fact.total_deal_amount;deals_fact.total_deal_amount_gbp_converted;deals_fact.total_oppportunity_deal_amount;deals_fact.total_weighted_opportunity_deal_amount;delivery_tasks_fact.task_end_ts_month_num;delivery_tasks_fact.task_end_ts_year;delivery_tasks_fact.task_is_completed;delivery_tasks_fact.task_is_latest_sprint_version;delivery_tasks_fact.total_delivery_tasks;delivery_team_fact_xa.average_billable_utilisation_pct;delivery_team_fact_xa.average_utilisation_pct;delivery_team_fact_xa.first_billing_date;delivery_team_fact_xa.is_current_employee;delivery_team_fact_xa.is_employee;delivery_team_fact_xa.last_billing_date;delivery_team_fact_xa.months_employed;delivery_team_fact_xa.total_billable_hours;delivery_team_fact_xa.total_clients;delivery_team_fact_xa.total_projects;profit_and_loss_report_fact.account_report_category;profit_and_loss_report_fact.amount;profit_and_loss_report_fact.period_month;profit_and_loss_report_fact.period_month_num;profit_and_loss_report_fact.period_year;project_invoice_timesheet_users.contact_name;project_invoice_timesheet_users.count_contacts;project_invoice_timesheets.total_timesheet_hours_billed;project_timesheet_projects.count_timesheet_projects;project_timesheet_users.contact_is_staff;project_timesheet_users.contact_name;project_timesheet_users.count_contacts;project_timesheets.timesheet_billing_date;project_timesheets.timesheet_billing_month_num;project_timesheets.timesheet_billing_year;project_timesheets.total_timesheet_cost_amount;project_timesheets.total_timesheet_hours_billed;projects_delivered.count_timesheet_projects;projects_invoiced.count_invoices;projects_invoiced.first_invoice_year;projects_invoiced.invoice_date;projects_invoiced.invoice_gbp_revenue_amount;projects_invoiced.invoice_month;projects_invoiced.invoice_month_num;projects_invoiced.invoice_status;projects_invoiced.invoice_year;projects_invoiced.months_since_first_invoice;revenue_attribution.attributed_revenue;revenue_attribution.invoice_year,true,mechanical,"fields: deals_fact.count_dbt_technology, deals_fact.count_fivetran_technology, deals_fact.count_gcp_technology, deals_fact.count_looker_technology, deals_fact.count_qubit_technology, deals_fact.count_segment_technology); references field outside the parsed repo (explores: finance/revenue_attribution; fields: deals_fact.count_dbt_technology, deals_fact.count_fivetran_technology, deals_fact.count_gcp_technology, deals_fact.count_looker_technology, deals_fact.count_qubit_technology, deals_fact.count_segment_technology)"
dashboard,looker:analytics:dashboard:144,144,2022 Planning,Users/Toby Sexton,Toby Sexton (disabled),never,0,2022-02-24T09:11:54+00:00,3,analytics/chart_of_accounts_dim,profit_and_loss_report_fact.account_name;profit_and_loss_report_fact.amount;profit_and_loss_report_fact.period_month,true,mechanical,folder_kind: personal; owner_active: false
