object_type,object_uri,view_name,explore_name,field_name,construct,translation_class,complexity,reason,lkml_file,line,lookml_commit
view,looker:analytics:view:actuals_v_targets,actuals_v_targets,,,view:derived_table,mechanical,High,ephemeral derived table: becomes an Omni sql view,views/actuals_v_targets.view.lkml,1,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:ad_campaign_performance_fact,ad_campaign_performance_fact,,,view:sql_table_name_liquid,redesign,High,Liquid in sql_table_name,views/ad_campaign_performance_fact.view.lkml,1,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:ad_campaigns_dim,ad_campaigns_dim,,,view:sql_table_name_liquid,redesign,High,Liquid in sql_table_name,views/ad_campaigns_dim.view.lkml,1,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:ad_performance_snapshot_fact,ad_performance_snapshot_fact,,,view:sql_table_name_liquid,redesign,High,Liquid in sql_table_name,views/ad_performance_snapshot_fact.view.lkml,1,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:ad_roi_summary_fact,ad_roi_summary_fact,,,view:sql_table_name_liquid,redesign,High,Liquid in sql_table_name,views/ad_roi_summary_fact.view.lkml,1,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:ads_dim,ads_dim,,,view:sql_table_name_liquid,redesign,High,Liquid in sql_table_name,views/ads_dim.view.lkml,1,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:ads_dim__ad_conversion_specs,ads_dim__ad_conversion_specs,,,view:no_table,mechanical,Low,no sql_table_name or derived_table: table name defaults to view name,views/ads_dim.view.lkml,178,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:ads_dim__ad_creative,ads_dim__ad_creative,,,view:no_table,mechanical,Low,no sql_table_name or derived_table: table name defaults to view name,views/ads_dim.view.lkml,185,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:ads_dim__ad_recommendations,ads_dim__ad_recommendations,,,view:no_table,mechanical,Low,no sql_table_name or derived_table: table name defaults to view name,views/ads_dim.view.lkml,119,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:ads_dim__ad_targeting,ads_dim__ad_targeting,,,view:no_table,mechanical,Low,no sql_table_name or derived_table: table name defaults to view name,views/ads_dim.view.lkml,195,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:ads_dim__ad_targeting__geo_locations,ads_dim__ad_targeting__geo_locations,,,view:no_table,mechanical,Low,no sql_table_name or derived_table: table name defaults to view name,views/ads_dim.view.lkml,288,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:ads_dim__ad_targeting__geo_locations__cities,ads_dim__ad_targeting__geo_locations__cities,,,view:no_table,mechanical,Low,no sql_table_name or derived_table: table name defaults to view name,views/ads_dim.view.lkml,250,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:ads_dim__ad_targeting__geo_locations__regions,ads_dim__ad_targeting__geo_locations__regions,,,view:no_table,mechanical,Low,no sql_table_name or derived_table: table name defaults to view name,views/ads_dim.view.lkml,232,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:ads_dim__ad_tracking_specs,ads_dim__ad_tracking_specs,,,view:no_table,mechanical,Low,no sql_table_name or derived_table: table name defaults to view name,views/ads_dim.view.lkml,151,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:adsets_dim,adsets_dim,,,view:sql_table_name_liquid,redesign,High,Liquid in sql_table_name,views/adsets_dim.view.lkml,1,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:adsets_dim__adset_targeting,adsets_dim__adset_targeting,,,view:no_table,mechanical,Low,no sql_table_name or derived_table: table name defaults to view name,views/adsets_dim.view.lkml,107,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:adsets_dim__adset_targeting__geo_locations,adsets_dim__adset_targeting__geo_locations,,,view:no_table,mechanical,Low,no sql_table_name or derived_table: table name defaults to view name,views/adsets_dim.view.lkml,200,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:adsets_dim__adset_targeting__geo_locations__cities,adsets_dim__adset_targeting__geo_locations__cities,,,view:no_table,mechanical,Low,no sql_table_name or derived_table: table name defaults to view name,views/adsets_dim.view.lkml,162,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:adsets_dim__adset_targeting__geo_locations__regions,adsets_dim__adset_targeting__geo_locations__regions,,,view:no_table,mechanical,Low,no sql_table_name or derived_table: table name defaults to view name,views/adsets_dim.view.lkml,144,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:anomaly_detection,anomaly_detection,,,view:derived_table_liquid,redesign,High,Liquid in derived_table sql,views/anomaly_detection.view.lkml,1,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:attribution_fact,attribution_fact,,,view:sql_table_name_liquid,redesign,High,Liquid in sql_table_name,views/attribution_fact.view.lkml,1,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:bank_account_details,bank_account_details,,,view:derived_table,mechanical,Low,ephemeral derived table: becomes an Omni sql view,views/bank_account_details.view.lkml,1,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:bank_transactions_fact,bank_transactions_fact,,,view:table,mechanical,Low,sql_table_name `ra-development.analytics.bank_transactions_fact`,views/bank_transactions_fact.view.lkml,2,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:certification_progress,certification_progress,,,view:table,mechanical,Low,sql_table_name `ra-development.analytics_seed.certification_progress`,views/certification_progress.view.lkml,2,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:chart_of_accounts_dim,chart_of_accounts_dim,,,view:table,mechanical,Low,sql_table_name `ra-development.analytics.chart_of_accounts_dim`,views/chart_of_accounts_dim.view.lkml,2,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:client_prospect_status_dim,client_prospect_status_dim,,,view:derived_table,mechanical,Low,ephemeral derived table: becomes an Omni sql view,views/client_prospect_status_dim.view.lkml,1,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:coding_agent_commands_dim,coding_agent_commands_dim,,,view:table,mechanical,Low,sql_table_name `ra-development.analytics.coding_agent_commands_dim`,views/coding_agent_commands_dim.view.lkml,1,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:coding_agent_prompts_fact,coding_agent_prompts_fact,,,view:table,mechanical,High,sql_table_name `ra-development.analytics.coding_agent_prompts_fact`,views/coding_agent_prompts_fact.view.lkml,1,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:companies_dim,companies_dim,,,view:sql_table_name_liquid,redesign,High,Liquid in sql_table_name,views/companies_dim.view.lkml,1,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:companies_dim__all_company_addresses,companies_dim__all_company_addresses,,,view:no_table,mechanical,Low,no sql_table_name or derived_table: table name defaults to view name,views/companies_dim.view.lkml,155,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:companies_dim__all_company_ids,companies_dim__all_company_ids,,,view:no_table,mechanical,Low,no sql_table_name or derived_table: table name defaults to view name,views/companies_dim.view.lkml,146,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:companies_dim_ideal_customer,companies_dim_ideal_customer,,,view:sql_table_name_liquid,redesign,High,Liquid in sql_table_name,views/companies_dim_ideal_customer.view.lkml,1,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:company_comparison,company_comparison,,,view:derived_table,mechanical,High,ephemeral derived table: becomes an Omni sql view,views/company_comparison.view.lkml,2,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
view,looker:analytics:view:company_converted_projects,company_converted_projects,,,view:derived_table,mechanical,Low,ephemeral derived table: becomes an Omni sql view,views/company_converted_projects.view.lkml,1,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e
