batch_id,batch_kind,object_type,object_id,object_name,explore_or_topic,usage_rank,ruling,depends_on_batch
b01,model,group,All Users,All Users,,,parity,
b01,model,access_grant,can_view_company_bio,can_view_company_bio,,,parity,
b01,model,user_attribute,groups,groups,,,parity,
b01,model,user_attribute,dataset,dataset,,,redesign,
b02,model,view,engagement_actions_fact,engagement_actions_fact,engagement_actions_fact,,parity,
b02,model,view,engagement_burn_up_fact,engagement_burn_up_fact,engagement_burn_up_fact,,parity,
b02,model,view,engagement_health_fact,engagement_health_fact,engagement_health_fact,,parity,
b02,model,view,engagement_sprint_burn_fact,engagement_sprint_burn_fact,engagement_sprint_burn_fact,,parity,
b02,model,topic,engagement_health_fact,engagement_health_fact,engagement_health_fact,,parity,
b02,model,topic,engagement_sprint_burn_fact,engagement_sprint_burn_fact,engagement_sprint_burn_fact,,parity,
b02,model,topic,engagement_burn_up_fact,engagement_burn_up_fact,engagement_burn_up_fact,,parity,
b02,model,topic,engagement_actions_fact,engagement_actions_fact,engagement_actions_fact,,parity,
b03,model,view,ad_campaign_performance_fact,ad_campaign_performance_fact,ad_campaign_performance_fact,,redesign,
b03,model,view,ad_campaigns_dim,ad_campaigns_dim,ad_campaign_performance_fact,,redesign,
b03,model,view,has_viewed_pricing,has_viewed_pricing,web_sessions_fact,,parity,
b03,model,view,ips_enriched,ips_enriched,web_sessions_fact,,parity,
b03,model,view,is_conversion_session,is_conversion_session,web_sessions_fact,,parity,
b03,model,view,organic_post_performance_fact,organic_post_performance_fact,organic_posts_dim,,parity,
b03,model,view,organic_posts_dim,organic_posts_dim,organic_posts_dim,,parity,
b03,model,view,page_first_published,page_first_published,web_sessions_fact,,parity,
b03,model,view,web_events_fact,web_events_fact,web_sessions_fact,,parity,
b03,model,view,web_sessions_fact,web_sessions_fact,web_sessions_fact,,redesign,
b03,model,view,wh_sessions_attribution,wh_sessions_attribution,web_sessions_fact,,parity,
b03,model,topic,web_sessions_fact,web_sessions_fact,web_sessions_fact,,parity,
b03,model,topic,ad_campaign_performance_fact,ad_campaign_performance_fact,ad_campaign_performance_fact,,parity,
b03,model,topic,organic_posts_dim,organic_posts_dim,organic_posts_dim,,parity,
b04,model,view,bank_account_details,bank_account_details,chart_of_accounts_dim,,parity,
b04,model,view,bank_transactions_fact,bank_transactions_fact,chart_of_accounts_dim,,parity,
b04,model,view,chart_of_accounts_dim,chart_of_accounts_dim,chart_of_accounts_dim,,parity,
b04,model,view,general_ledger_fact,general_ledger_fact,chart_of_accounts_dim,,parity,
