model,object_type,source_path,source_layer,last_migrated_commit,bq_target,state,snapshot_strategy,last_equivalence_result,last_equivalence_t,last_validated_commit,last_reverse_ported_commit,delivery_stage,pr_url,parent_release,parent_model,parent_verdict_ref,notes,source_updated_at
view:engagement_actions_fact,view,views/engagement_actions_fact.view.lkml,looker_model,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e,,pending,null,null,null,null,null,null,null,null,null,null,batch b02; class mechanical; complexity Low; 15 fields,null
view:engagement_burn_up_fact,view,views/engagement_burn_up_fact.view.lkml,looker_model,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e,,pending,null,null,null,null,null,null,null,null,null,null,batch b02; class mechanical; complexity Low; 15 fields,null
view:engagement_health_fact,view,views/engagement_health_fact.view.lkml,looker_model,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e,,pending,null,null,null,null,null,null,null,null,null,null,batch b02; class mechanical; complexity High; 106 fields,null
view:engagement_sprint_burn_fact,view,views/engagement_sprint_burn_fact.view.lkml,looker_model,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e,,pending,null,null,null,null,null,null,null,null,null,null,batch b02; class mechanical; complexity Medium; 24 fields,null
topic:engagement_health_fact,topic,models/analytics.model.lkml,looker_model,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e,,pending,null,null,null,null,null,null,null,null,null,null,batch b02; base view engagement_health_fact; class assisted,null
topic:engagement_sprint_burn_fact,topic,models/analytics.model.lkml,looker_model,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e,,pending,null,null,null,null,null,null,null,null,null,null,batch b02; base view engagement_sprint_burn_fact; class assisted,null
topic:engagement_burn_up_fact,topic,models/analytics.model.lkml,looker_model,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e,,pending,null,null,null,null,null,null,null,null,null,null,batch b02; base view engagement_burn_up_fact; class mechanical,null
topic:engagement_actions_fact,topic,models/analytics.model.lkml,looker_model,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e,,pending,null,null,null,null,null,null,null,null,null,null,batch b02; base view engagement_actions_fact; class assisted,null
view:ad_campaign_performance_fact,view,views/ad_campaign_performance_fact.view.lkml,looker_model,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e,,pending,null,null,null,null,null,null,null,null,null,null,batch b03; class redesign; complexity High; 23 fields,null
view:ad_campaigns_dim,view,views/ad_campaigns_dim.view.lkml,looker_model,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e,,pending,null,null,null,null,null,null,null,null,null,null,batch b03; class redesign; complexity High; 12 fields,null
view:has_viewed_pricing,view,views/has_viewed_pricing.view.lkml,looker_model,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e,,pending,null,null,null,null,null,null,null,null,null,null,batch b03; class mechanical; complexity Low; 3 fields,null
view:ips_enriched,view,views/ips_enriched.view.lkml,looker_model,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e,,pending,null,null,null,null,null,null,null,null,null,null,batch b03; class mechanical; complexity High; 15 fields,null
view:is_conversion_session,view,views/is_conversion_session.view.lkml,looker_model,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e,,pending,null,null,null,null,null,null,null,null,null,null,batch b03; class mechanical; complexity Low; 3 fields,null
