register_model,object_uri,baseline_id,source_definition,target_definition,dependencies,policy_context,data_context,test_contract,adapters,evidence_fingerprint,stale_kinds
view:engagement_actions_fact,looker:analytics:view:engagement_actions_fact,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:99216522e83217c605618a07c12638a9e0876985381683513e720297d6484f65,absent,5d06d9bc7ffa3fcdf75a9183509c7df33a59cce44bc6398fabc04223a7cc0c63,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),e22916da86d7a663eaf502a03ba930cb0252799c535f049bb22eeec0dc2025dc,
view:engagement_burn_up_fact,looker:analytics:view:engagement_burn_up_fact,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:d56f8d38e5109aea9466fcf35318b35e2f47456842ef875a50758eda91f5c4f2,absent,dcfa417a2c993f805e8cc15eb8b7030c5f2766f8f290104c1a45afc6c7f7501a,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),47b63d88d4f23d3c4a28941ade8030f53ae239a4e47534124b9af438bc72b6f9,
view:engagement_health_fact,looker:analytics:view:engagement_health_fact,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:6b19977a83694762a17bc842903e91970c5669adee54967c290b911b1b7574ba,absent,694629f2c32cd7b45074c65adad42d6bc0c886702ff929c8708bddb1b0649186,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),f1c47dba9ef4d3e62b499b3874ca3b1928bfb864e67d575af96477fc7eb83311,
view:engagement_sprint_burn_fact,looker:analytics:view:engagement_sprint_burn_fact,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:263ebcbd0ce43256c091cdcff651709f84953292f845ed49cd8789d9c94b70d0,absent,41cfe917502704f7838d34dc9cda06282e747d262e7b82026f685e7951efc030,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),0448614f39b7b138c7186907247132dbd61d39e7e739ec518a7ecccf32265d38,
view:ad_campaign_performance_fact,looker:analytics:view:ad_campaign_performance_fact,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:bd2ecf7f8308dec191f758a72d087dfd3e8dc101b8d369dd5a56a986506e0761,absent,0abbda10f70aafa6c9aa877152401478d4fe9d441c147769a3dc39bb8fb67229,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),bfe27d0ff55429dd08ac91f2b28a508667f54f464e2906d1be31aee633e13a83,
view:ad_campaigns_dim,looker:analytics:view:ad_campaigns_dim,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:0dff479b436dcf6a1fc00c104a2cfdf01cdfbf6a2b0fc97f9051b4c8184406b4,absent,0e3ef9716de83825f2de4296d62e8059f95c09df78455890d7af54152a2739d5,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),28c8d188300c5968f16a8fbbc8f5f6f116b7e76e0f3a3eb60f4da3ff10345d96,
view:has_viewed_pricing,looker:analytics:view:has_viewed_pricing,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:a432375da70db0961f9cff731e369c770336dd86a97ee4b57067441c03e55db7,absent,7b373e7b979c469a2643a3905206c4a3e3659e597b395091bb01d5367975b507,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),abe48f7973165403e1707935651cb548dc792d56efbc585d2f6ae0d83b897849,
view:ips_enriched,looker:analytics:view:ips_enriched,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:ae0f8dc8530e067365e5ea8869600e40205f5a7df9f782568fc8912a55d8adae,absent,1c58c34d2f83b83b067196e78d18690649c2e2492492d04b80bcc1266a466d95,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),b97d41045279bcc92eabbe02b474c5274dcf5f700ef3704ee9dee0b6db3ca48f,
view:is_conversion_session,looker:analytics:view:is_conversion_session,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:7f7ef98ff3cd9d515185cc50ce364b1abb6fbf3da428575b4110416d95238381,absent,e32ae3bd7cf3856094bb6fbf13a77ca17f4d795d4156901a63891e55b24c2454,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),cda548741ed2047758fcf4a87ae49be76759718220ff171ce99c78e4b5594242,
view:organic_post_performance_fact,looker:analytics:view:organic_post_performance_fact,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:e8134251e12e310deab970013bd462181bc142c5f696e554ca46afd60e58d6c2,absent,5f89cb157f7eb068564c5b6203b69a059bc7e7c6bf4f3b3adbe00c302e2b84ad,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),b929185df3b0e2f3474fa90e3bd67ee3f1fc5660fd84a55179143ce6d9b0115f,
view:organic_posts_dim,looker:analytics:view:organic_posts_dim,b001,82b3ab594f0d8f518072f3e1cc4f4ce8ac1d576e:16eedcc5993b82977c5ff8fd069e52519fd8875a7051ea91c43331ea7b1b3a56,absent,8d78069ee35bea49582ca0df8174a344cdccec3d54e522aa9b1e62c6acf00428,50d878092a1d0f8372d5f97939d2ab8eeac067bcb7084e9645046f9145951d9f,2026-09-05T23:59:59Z,absent,converter 1.1.0; pair c1d0dfddf5a1cd4afbc80101e4bac698443b8bc52b7ea427ea4c17f3e115945c; comparator bi_parity.py sha256:0803a81993929500 (no version constant),7822f3857bce5a54f6fc1f5ef9f7afb77148bf11892c5535f725ad669b9434ef,
